使用说明：本库仅提供小说剧情灵感索引与搜索关键词。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制本库中的任何描述作为最终输出。

格式统一为：[类型] @短代码 | 看点 | 视觉关键词 | 情绪关键词 | 
[影视] @灌篮高手·三井寿 | 永不放弃的男人，三分雨 | 蓝色球衣，三分球，安西教练 | 燃、泪目 | 2439
[影视] @咒术回战·五条悟 | 最强，无量空处，虚式茈 | 眼罩，白发，领域展开 | 狂气、碾压 | 24
[影视] @咒术回战·夏油杰 | 百鬼夜行，叛逃，怀玉篇 | 黑色僧袍，咒灵，笑脸 | 悲壮、转折 | 2439
[国潮] @赛博中医·望闻问切仪 | 中医四诊+全息扫描 | 智能脉枕，舌诊全息，针灸机器人 | 科技、传统 | 24
[国潮] @赛博书法·数字泼墨 | 毛笔+全息投影，字迹成真 | 毛笔，全息汉字，泼墨粒子 | 诗意、科幻 | 24
[国潮] @赛博戏曲·自动盔头 | 智能盔头，变脸，水袖无人机 | 盔头，LED脸谱，无人机水袖 | 华丽、炫酷 | 24
[国潮] @赛博二十四节气·数据农耕 | 节气+数据，智能农田 | 节气轮盘，无人机播种，数据田 | 自然、科技 | 24
[服饰] @明制汉服·马面裙 | 织金马面，竖领长袄，披风 | 织金红，月白，麒麟补 | 华美、端庄 | 24
[服饰] @宋制汉服·褙子 | 直领对襟，百迭裙，霞帔 | 淡青，浅粉，珍珠妆 | 清雅、婉约 | 24
[服饰] @唐制汉服·齐胸襦裙 | 披帛，大袖衫，团扇 | 石榴红，鹅黄，宝相花 | 明艳、华丽 | 24
[服饰] @魏晋风·交领大袖 | 广袖，鹤氅，竹叶纹 | 素白，石青，墨黑 | 飘逸、风流 | 24
[服饰] @赛博汉服·全息披帛 | 发光面料，智能纹样，数字飘带 | 银白，荧光蓝，全息纹 | 未来、国风 | 24




---文档结束---
