使用说明：本库仅提供非物质文化遗产的灵感索引与搜索方向（短代码、关键词、情绪标签）。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制库内任何描述作为最终输出。

主规则能够解析 [非遗] @京剧 | 看点 | 视觉关键词 | 情绪关键词 | 关联规则
[非遗] @武氏太极拳 | 武禹襄创，小巧紧凑，动作严谨 | 青袍，庭院，柔光 | 严谨、内敛 | 24,162
[非遗] @吴氏太极拳 | 吴鉴泉创，以柔化著称，架式紧凑 | 白袍，园林，柔光 | 柔化、细腻 | 24,162
[非遗] @孙氏太极拳 | 孙禄堂创，开合活步，进退相随 | 白袍，古建筑，晨光 | 灵活、开合 | 24,162
[非遗] @和氏太极拳 | 和兆元创，三直四顺，意形并重 | 青袍，山林，柔光 | 自然、内敛 | 24,162
[非遗] @王其和太极拳 | 河北，融合杨武，架式工整 | 白袍，庭院，晨光 | 工整、稳健 | 24,162
[非遗] @李式太极拳 | 天津，李瑞东创，融合太极八卦形意 | 白袍，老建筑，硬光 | 融合、刚劲 | 24,162
[非遗] @洪洞通背拳 | 山西，通背拳分支，甩膀抖腕，放长击远 | 灰衣，古槐，晨光 | 舒展、鞭劲 | 24,162
[非遗] @白猿通背拳 | 北京，模仿白猿，轻灵敏捷 | 灰衣，山林，逆光 | 轻灵、敏捷 | 24,162
[非遗] @五行通背拳 | 辽宁，以五行命名，练劲为主 | 灰衣，练功房，硬光 | 劲力、整劲 | 24,162
[非遗] @少林五拳 | 龙虎豹蛇鹤，仿生拳法，刚柔相济 | 黄袈裟，少林寺，逆光 | 仿生、刚健 | 24,162
[非遗] @少林罗汉拳 | 十八罗汉手，古朴刚健 | 黄袈裟，塔林，正午 | 古朴、刚猛 | 24,162
[非遗] @少林金刚拳 | 金刚力士，刚猛发力，顿足震脚 | 黄袈裟，演武场，尘土 | 刚猛、威猛 | 24,162
[非遗] @少林柔拳 | 少林柔功，柔和舒展，养生气功 | 黄袈裟，禅院，晨雾 | 柔和、养生 | 24
[非遗] @峨眉十二桩 | 峨眉功法，十二桩式，动静结合 | 青衣，峨眉山，晨雾 | 内养、沉稳 | 24
[非遗] @峨眉剑仙派 | 峨眉剑术分支，轻灵飘逸，身剑合一 | 青衣，长剑，云海，逆光 | 飘渺、凌厉 | 24,162
[非遗] @青城三十六式 | 青城拳法，三十六式，轻灵矫健 | 青衣，青城山，晨雾 | 轻灵、矫健 | 24,162
[非遗] @崆峒飞龙拳 | 崆峒拳法，刚柔相济，动作大开大合 | 灰衣，崆峒山，逆光 | 豪放、力度 | 24,162
[非遗] @昆仑混元掌 | 昆仑掌法，混元一气，掌力深厚 | 白衣，昆仑雪山，逆光 | 深厚、刚猛 | 24,162
[非遗] @武当太和拳 | 武当山，太和拳，以静制动 | 青袍，武当金顶，晨雾 | 沉稳、内劲 | 24,162
[非遗] @武当纯阳拳 | 纯阳拳，至刚至阳，发力刚猛 | 青袍，武当山，逆光 | 刚阳、爆发 | 24,162
[非遗] @武当玄武拳 | 玄武拳，龟蛇合一，以柔克刚 | 青袍，武当山，柔光 | 柔韧、化劲 | 24,162
[非遗] @武当龙华拳 | 龙华拳，如龙飞舞，刚猛矫健 | 青袍，武当山，晨光 | 龙形、刚健 | 24,162
[非遗] @武当丹剑 | 武当丹剑，内家剑法，以身运剑 | 长剑，青袍，云海，逆光 | 飘逸、内劲 | 24,162
[非遗] @青萍剑华东 | 山东青州，青萍剑法，快慢相兼 | 长剑，绿萍池水，柔光 | 流畅、变化 | 24,162
[非遗] @六合刀 | 六合刀法，刀随步走，身械合一 | 长刀，武服，演武场，硬光 | 六合、整劲 | 24,162
[非遗] @六合枪 | 六合枪，二十四式，枪扎一条线 | 长枪，武服，正午 | 刚直、快速 | 24,162
[非遗] @六合拳 | 六合拳，心与意合等内外三合 | 灰衣，古建筑，晨光 | 整劲、协调 | 24,162
[非遗] @岳王锤 | 岳家拳器械，双锤，砸击 | 双锤，灰衣，演武场，硬光 | 重击、霸气 | 24,162
[非遗] @岳家枪 | 岳家枪法，大枪，枪法古朴 | 大枪，灰衣，岳庙，逆光 | 古朴、威猛 | 24,162
[非遗] @戚家棍 | 戚继光棍法，结合军阵，实用 | 长棍，明甲胄，演武场，正午 | 军阵、实用 | 24,162
[非遗] @戚家刀法 | 戚继光刀法，单刀，简洁实用 | 佩刀，明甲胄，演武场，硬光 | 实战、快速 | 24,162
[非遗] @三皇炮捶 | 河北，三皇炮捶，短打硬进，声如雷 | 黑衫，练功桩，硬光 | 刚猛、发声 | 24,162
[非遗] @自然门 | 湖南，自然门，动静无始，变化无端 | 灰衣，山林，自然光 | 自然、无招 | 24,162
[非遗] @意拳 | 王芗斋创，无定式，重意念力 | 灰衣，室内，柔光 | 意力、浑圆 | 24,162
[非遗] @卢氏结构 | 天津，卢忠仁创，结构力学发劲 | 灰衣，练功房，硬光 | 科学、整劲 | 24,162
[非遗] @八极拳六合大枪 | 八极拳大枪，拦拿扎，崩点挑 | 大枪，黑衫，硬光 | 刚猛、快扎 | 24,162
[非遗] @八极拳行者棍 | 八极棍法，行者棒，短棍 | 短棍，黑衫，硬光 | 古朴、实用 | 24,162
[非遗] @八极拳提柳刀 | 八极刀法，提柳刀，单刀 | 长刀，黑衫，逆光 | 凌厉、沉稳 | 24,162
[非遗] @劈挂拳马氏 | 马凤图传，劈挂掌，放长击远 | 灰衣，练功场，晨光 | 舒展、鞭劲 | 24,162
[非遗] @劈挂拳通备 | 通备劈挂，大开大合，力达梢节 | 灰衣，黄土，正午 | 整劲、放长 | 24,162
[非遗] @八极小架 | 八极拳入门套路，撑拳，震脚 | 黑衫，练功场，尘土 | 刚猛、基础 | 24,162
[非遗] @八极拳八极架 | 八极拳基本架式，六大开 | 黑衫，练功桩，硬光 | 刚架、整劲 | 24,162
[非遗] @形意五行连环拳 | 五行拳连环，劈崩钻炮横连续 | 灰衣，黄土，晨光 | 连击、五行 | 24,162
[非遗] @形意十二形 | 龙虎猴马等十二形，仿生 | 灰衣，自然场景，逆光 | 仿生、多变 | 24,162
[非遗] @形意四把捶 | 形意传统套路，刚猛快捷 | 灰衣，演武场，正午 | 刚猛、快捷 | 24,162
[非遗] @形意杂式捶 | 形意综合套路，涵盖多种手法 | 灰衣，练功房，硬光 | 综合、多变 | 24,162
[非遗] @心意拳 | 河南/山西，心意六合拳，鸡腿龙身 | 灰衣，古宅，晨光 | 古朴、刚猛 | 24,162
[非遗] @戴氏心意拳 | 山西祁县，戴家心意，蹲猴式 | 灰衣，土窑洞，自然光 | 古朴、内劲 | 24,162
[非遗] @心意把 | 少林心意把，禅武合一，爆发短劲 | 黄袈裟，少林寺，硬光 | 短劲、禅意 | 24,162
[非遗] @苌家拳 | 河南，苌乃周创，讲究阴阳 | 灰衣，古宅，晨光 | 内劲、阴阳 | 24,162
[非遗] @孙膑拳 | 山东，孙膑所传，蹒跚步，长短拳 | 灰衣，演武场，正午 | 诡异、步法 | 24,162
[非遗] @徐家拳 | 山东，徐氏家传，朴实刚健 | 灰衣，农家院，自然光 | 朴实、实战 | 24,162
[非遗] @四明内家拳 | 浙江，内家拳，松静自然 | 青衣，四明山，晨雾 | 松静、内修 | 24,162
[非遗] @唐手拳 | 湖北，唐手，短小精悍 | 灰衣，古战场，硬光 | 短打、犀利 | 24,162
[非遗] @孔门拳 | 山东，孔子后裔传，儒雅 | 白袍，孔庙，晨光 | 儒雅、柔和 | 24
[非遗] @巫家拳 | 湖南，巫必达创，刚柔并济 | 灰衣，湘西，自然光 | 民间、古朴 | 24,162
[非遗] @薛家拳 | 河北，薛颠传，形意分支 | 灰衣，练功房，硬光 | 刚猛、怪异 | 24,162
[非遗] @岳家拳黄梅 | 湖北黄梅，岳飞后人所传 | 灰衣，黄梅戏台，硬光 | 古朴、实战 | 24,162
[非遗] @土家族武术 | 湘西，土家族蛮拳，刀枪 | 彩衣，吊脚楼，逆光 | 民族、质朴 | 24,162
[非遗] @苗族武术 | 苗族，芦笙拳，板凳拳 | 银饰，苗寨，自然光 | 民族、实战 | 24,162
[非遗] @彝族摔跤 | 彝族传统摔跤，绊腿 | 彩衣，火把节，正午 | 力量、技巧 | 24,162
[非遗] @蒙古族沙力搏尔 | 蒙古族摔跤，抱腿，绊腿 | 皮衣，草原，正午 | 力量、粗犷 | 24,162
[非遗] @朝鲜族摔跤 | 朝鲜族摔跤，系腿带 | 彩衣，秋千旁，正午 | 技巧、传统 | 24,162
[非遗] @藏族北嘎 | 藏族摔跤，抓腰带 | 藏袍，雪顿节，逆光 | 力量、粗犷 | 24,162
[非遗] @维吾尔族且力西 | 维吾尔族摔跤，抱腰 | 彩衣，果园，正午 | 力量、技巧 | 24,162
[非遗] @满族珍珠球 | 满族传统球类，类似篮球 | 彩衣，冰雪，正午 | 竞技、传统 | 24,162
[非遗] @满族冰嬉 | 冰上运动，滑冰，冰球 | 彩衣，冰面，逆光 | 速度、寒冷 | 24,162
[非遗] @蒙古族赛驼 | 赛骆驼，草原传统竞技 | 骆驼，草原，正午 | 趣味、传统 | 24
[非遗] @哈萨克族库热斯 | 哈萨克式摔跤，腰带抓 | 彩衣，草原，正午 | 力量、传统 | 24,162
[非遗] @柯尔克孜族叼羊 | 骑马叼羊，竞技 | 马，草原，尘土 | 激烈、传统 | 24,162
[非遗] @塔吉克族牦牛叼羊 | 帕米尔高原，骑牦牛叼羊 | 牦牛，雪山，逆光 | 惊险、传统 | 24,162
[非遗] @达斡尔族颈力 | 拔颈比赛，力量对抗 | 皮衣，草原，正午 | 力量、原始 | 24,162
[非遗] @鄂温克族抢枢 | 抢枢游戏，类似橄榄球 | 皮衣，森林，正午 | 激烈、传统 | 24,162
[非遗] @赫哲族叉草球 | 抛叉草球，渔猎技巧 | 鱼皮衣，江边，正午 | 技巧、传统 | 24,162
[非遗] @苗族八人秋 | 八人荡秋千，竞技 | 彩衣，苗寨，正午 | 惊险、传统 | 24,162
[非遗] @彝族打磨秋 | 旋转秋千，平衡技巧 | 彩衣，火把节，逆光 | 惊险、传统 | 24,162
[非遗] @壮族抛绣球 | 抛绣球，投准游戏 | 绣球，歌圩，正午 | 趣味、爱情 | 24
[非遗] @瑶族陀螺 | 打陀螺，竞技 | 陀螺，瑶寨，正午 | 技巧、传统 | 24
[非遗] @黎族打柴舞 | 竹竿舞，跳跃 | 彩衣，竹竿，自然光 | 欢快、节奏 | 24
[非遗] @高山族背篓球 | 背篓接球 | 彩衣，山地，正午 | 趣味、传统 | 24


[非遗] @流星锤 | 绳索铁球，远距离砸击，软硬兼施 | 铁球、绳索，抛物线轨迹，逆光 | 刚柔、奇门 | 24,162
[非遗] @链锤 | 铁链连接锤头，甩击缠绕 | 铁链、铁锤，金属碰撞声，残影 | 刚猛、花式 | 24,162
[非遗] @铁链 | 铁索为兵，抽扫缠锁，沉重诡异 | 铁链，武服，金属哗啦声，硬光 | 沉重、诡异 | 24,162
[非遗] @绳鞭 | 绳索系镖头，远距离缠打 | 绳镖，抛物线，哨音，逆光 | 柔中带刚、远攻 | 24,162
[非遗] @软鞭 | 牛皮/钢丝编织，抽打如霹雳 | 软鞭，鞭花，啪响，动态抓拍 | 刚烈、清脆 | 24,162
[非遗] @三节棍 | 三节铁棍相连，攻守兼备 | 铁棍，快速旋转，残影，硬光 | 花式、凌厉 | 24,162
[非遗] @九节鞭 | 九节铁鞭，软硬相济，缠扫点砸 | 铁鞭，鞭花，金属摩擦声，逆光 | 刚柔、华丽 | 24,162
[非遗] @十三节鞭 | 十三节铁链，长鞭，远距离抽打 | 长铁链，鞭影，呼啸声，硬光 | 刚猛、远攻 | 24,162
[非遗] @铁扇 | 铁骨扇面，开合击打，可藏暗器 | 黑铁扇，扇骨反光，开扇声 | 优雅、杀机 | 24,162
[非遗] @铁笛 | 铁制笛子，吹奏与点打合一 | 铁笛，笛孔，音波特效，逆光 | 文雅、暗藏 | 24,162
[非遗] @铁箫 | 铁箫，箫中藏剑，出其不意 | 铁箫，剑光，拔剑瞬间 | 雅致、诡异 | 24,162
[非遗] @铁琵琶 | 铁制琵琶，砸扫挡格 | 铁琵琶，弦音，重击声 | 奇门、沉重 | 24,162
[非遗] @铁算盘 | 铁制算盘，算珠滚动，可砸可挡 | 铁算盘，算珠声，硬光 | 文雅、攻击 | 24,162
[非遗] @铁烟斗 | 铜制烟斗，点穴，近身击打 | 铜烟斗，青烟，老者形象 | 老辣、阴狠 | 24,162
[非遗] @铁如意 | 铁制如意，砸点兼用法器 | 铁如意，道家符文，逆光 | 仙风、刚猛 | 24,162
[非遗] @金瓜锤 | 瓜形铜锤，双手持，砸击破甲 | 金锤，重甲，尘土飞扬 | 霸力、重器 | 24,162
[非遗] @卧瓜锤 | 短柄卧瓜锤，单手使用，轻便 | 铜锤，单手挥舞，残影 | 灵巧、重击 | 24,162
[非遗] @骨朵 | 古代锤类，头部为蒺藜形 | 铁骨朵，蒺藜头，冷光 | 古朴、钝击 | 24,162
[非遗] @狼牙棒 | 木棒嵌铁钉，重砸扫击 | 狼牙棒，铁钉反光，血雾（诗意） | 凶猛、残暴 | 24,22,162
[非遗] @连枷 | 长柄+短锤头，链连接，可砸可扫 | 连枷，链条声，挥舞残影 | 软硬、打击 | 24,162
[非遗] @钉耙 | 九齿钉耙，农具兵器，可耙可砸 | 九齿钉耙，铁齿，沙土飞溅 | 奇特、实用 | 24,162
[非遗] @铁扫帚 | 铁枝扎成帚状，扫击下盘 | 铁扫帚，地面扫尘，低角度 | 奇门、扫腿 | 24,162
[非遗] @铁锏 | 四棱铁锏，无刃，砸击破铠 | 铁锏，棱角反光，金属撞击声 | 刚猛、重击 | 24,162
[非遗] @铁鞭锏 | 竹节钢鞭形锏，抽打为主 | 铁鞭，竹节纹，鞭花 | 刚柔、花式 | 24,162
[非遗] @铁尺 | 日字形铁叉，格挡戳击 | 铁尺，叉头，格挡火花 | 格挡、点刺 | 24,162
[非遗] @铁筷子 | 铁制双筷，点穴夹刺 | 铁筷，微距特写，指尖 | 精巧、点穴 | 24,162
[非遗] @铁蛋 | 铁球暗器，手抛砸击 | 铁蛋，手心，抛物线 | 暗器、精准 | 24,162
[非遗] @铁丸 | 弹丸暗器，弹指飞出 | 铁丸，手指弹射，残影 | 快速、隐蔽 | 24,162
[非遗] @金钱镖 | 磨边铜钱，飞镖暗器 | 铜钱，指尖，旋转飞出 | 隐蔽、阴险 | 24,162
[非遗] @飞针 | 钢针暗器，无声无息 | 银针，指尖，反光 | 细微、致命 | 24,162
[非遗] @飞刺 | 短刺暗器，多棱形 | 铁刺，投掷，抛物线 | 尖锐、隐秘 | 24,162
[非遗] @甩手箭 | 无羽短箭，手甩投掷 | 短箭，甩手动作，直线轨迹 | 精准、快速 | 24,162
[非遗] @袖弩 | 腕装小弩，机关发射 | 袖弩，手臂特写，机关声 | 机关、隐秘 | 24,162
[非遗] @背弩 | 背藏弩机，低头触发 | 背弩，背部特写，触发瞬间 | 机关、防身 | 24,162
[非遗] @踏弩 | 脚踏式弩机，陷阱暗器 | 踏弩，地面，绳索 | 陷阱、狩猎 | 24,162
[非遗] @连弩 | 连发弩机，多箭齐射 | 连弩，箭匣，连射残影 | 连射、火力 | 24,162
[非遗] @诸葛连弩 | 传说诸葛亮所创，十矢连发 | 木质连弩，箭矢，机械结构 | 古代、连射 | 24,162
[非遗] @床弩 | 大型攻城弩，需绞盘上弦 | 床弩，巨大箭矢，城墙背景 | 攻城、重型 | 24,162
[非遗] @抛石机 | 杠杆式投石器，攻城器械 | 抛石机，巨石，抛物线 | 攻城、古代 | 24,162
[非遗] @冲车 | 攻城撞车，包铁撞木 | 冲车，城门，撞击瞬间 | 攻城、重型 | 24,162
[非遗] @云梯 | 攻城梯，架于城墙 | 云梯，城墙，士兵攀爬 | 攻城、古代 | 24,162
[非遗] @壕桥 | 架桥器械，越壕沟 | 壕桥，沟壑，木板 | 工程、军用 | 24,162

[非遗] @中医正骨 | 摸接端提，推拿按摩，骨折复位 | 手法特写，骨骼X光意境，暖光 | 精湛、传统 | 24
[非遗] @中医推拿 | 按揉推拿，经络疏通，一指禅 | 手指，背部，穴位图，柔和光 | 舒适、治疗 | 24
[非遗] @拔罐 | 玻璃罐/竹罐，负压吸附，祛湿排毒 | 罐印，火苗，皮肤纹理，暖光 | 传统、祛病 | 24
[非遗] @刮痧 | 牛角板刮拭，出痧排毒 | 刮痧板，红色痧痕，后背特写 | 传统、疼痛 | 24
[非遗] @艾灸 | 艾条点燃，温灸穴位，烟雾缭绕 | 艾条，灰烬，烟雾，暖黄光 | 温养、传统 | 24
[非遗] @太极拳器械 | 太极剑/太极刀/太极枪，以意导气 | 白袍，太极剑，晨光，逆光 | 飘逸、内劲 | 24,162
[非遗] @太极球 | 揉球运劲，练圆活整劲 | 木球/石球，双手抱球，柔光 | 圆活、内劲 | 24,162
[非遗] @太极尺 | 拧转尺棒，练缠丝劲 | 木尺，双手拧转，硬光 | 缠丝、整劲 | 24,162
[非遗] @抖大杆 | 长杆抖劲，练爆发力 | 白蜡杆，尘土飞扬，逆光 | 刚猛、整劲 | 24,162
[非遗] @站桩 | 站桩功，筑基，三体式/浑圆桩 | 灰衣，静立，晨雾，剪影 | 沉稳、内修 | 24
[非遗] @吐纳导引 | 呼吸吐纳，导引术，六字诀 | 白衣，静坐，云雾，柔光 | 养生、呼吸 | 24
[非遗] @面塑 | 彩色面团，捏塑人物/动物，精巧 | 彩面，指尖，竹签，微距 | 精巧、生动、民俗 | 24
[非遗] @糖画 | 糖浆作画，浇铸成型，转盘 | 金黄糖浆，石板，竹签，暖光 | 香甜、童趣、民俗 | 24
[非遗] @吹糖人 | 糖浆吹泡，捏塑造型 | 糖泡，吹管，暖黄光 | 神奇、童趣 | 24
[非遗] @泥塑 | 粘土塑形，彩绘，民间泥玩 | 粘土，彩绘，手部特写 | 质朴、民俗 | 24
[非遗] @砖雕 | 青砖雕刻，人物花鸟，影壁 | 青砖，刻刀，石粉，硬光 | 厚重、精致 | 24
[非遗] @木版年画 | 木版雕刻，手工套印 | 梨木版，棕刷，宣纸 | 古朴、民俗 | 24
[非遗] @金石篆刻 | 篆刻印章，石料，刻刀 | 青田石，印泥，篆字 | 古雅、匠心 | 24
[非遗] @湖笔 | 湖州毛笔，羊毫狼毫，制笔工序 | 毛笔，笔尖，水盆，柔光 | 文雅、匠心 | 24
[非遗] @徽墨 | 徽州墨锭，松烟，描金，墨香 | 黑墨，描金，砚台，侧光 | 文雅、墨香 | 24
[非遗] @宣纸 | 青檀皮，沙田稻草，捞纸，晒纸 | 纸浆，竹帘，晾晒，自然光 | 古朴、匠心 | 24
[非遗] @端砚 | 端州砚石，石眼，雕砚 | 青紫砚石，刻刀，磨墨 | 文雅、石质 | 24
[非遗] @红木家具 | 榫卯结构，雕刻，烫蜡 | 红木，榫卯，雕刻纹样 | 华贵、传统 | 24
[非遗] @苏式盆景 | 苏州盆景，修剪，山石，微型 | 盆景，剪刀，青苔，柔光 | 雅致、自然 | 24
[非遗] @扬派盆景 | 扬州盆景，云片式，扎剪 | 盆景，棕丝，云片状 | 精致、传统 | 24
[非遗] @川派盆景 | 四川盆景，悬根露爪，古朴 | 盆景，树根，悬崖式 | 苍劲、自然 | 24
[非遗] @岭南盆景 | 广东盆景，飘逸，自然 | 盆景，修剪，石山 | 潇洒、自然 | 24
[非遗] @中国结 | 红绳编织，盘长结，吉祥结 | 红绳，编织过程，特写 | 喜庆、精致 | 24
[非遗] @绒花 | 蚕丝绒花，仿生花卉，头饰 | 彩色绒丝，铜丝，成品花 | 艳丽、精巧 | 24,161
[非遗] @绢花 | 丝绸制花，仿真花卉 | 绢布，染色，花瓣 | 逼真、华丽 | 24
[非遗] @花灯 | 元宵花灯，宫灯，走马灯 | 彩灯，竹骨，烛火，夜光 | 喜庆、绚烂 | 24
[非遗] @灯彩 | 彩灯制作，秦淮灯会 | 彩灯，灯会夜景，逆光 | 华丽、民俗 | 24
[非遗] @冰灯 | 冰雪雕刻，冰建筑，彩灯内嵌 | 冰块，冰雕，彩光 | 晶莹、寒冷 | 24
[非遗] @沙燕风筝 | 北京沙燕，硬翅，彩绘 | 沙燕，蓝天，竹骨 | 春日、童趣 | 24
[非遗] @龙头蜈蚣 | 潍坊风筝，长串，龙头 | 蜈蚣风筝，尾巴，蓝天 | 壮观、童趣 | 24
[非遗] @空竹 | 双轮空竹，抖绳，抛接 | 空竹，绳子，动态抓拍 | 技巧、欢快 | 24,162
[非遗] @陀螺 | 木制陀螺，鞭抽旋转 | 陀螺，鞭子，旋转模糊 | 童趣、传统 | 24
[非遗] @铁环 | 滚铁环，铁钩，奔跑 | 铁环，铁钩，动感模糊 | 童趣、运动 | 24
[非遗] @毽子 | 羽毛毽，踢毽，花样 | 毽羽，脚部特写，腾空 | 灵活、传统 | 24,162
[非遗] @跳绳 | 绳索跳跃，单摇双摇 | 跳绳，脚部，快速模糊 | 活力、运动 | 24

[非遗] @铁匠 | 打铁锻造，风箱炉火，锤击锻打，淬火成型 | 铁砧，火星飞溅，赤红铁坯，汗水 | 刚健、质朴、匠心 | 24,162
[非遗] @木匠 | 刨凿锯斧，榫卯结构，手工木作，雕花 | 木花卷曲，刨子，墨斗，侧光 | 精细、沉稳、匠心 | 24
[非遗] @石匠 | 开山采石，锤凿雕刻，石碑石狮，粉尘飞扬 | 石锤，凿子，石粉，硬光 | 粗犷、厚重、坚韧 | 24
[非遗] @瓦匠 | 砌墙盖瓦，泥刀灰浆，飞檐翘角，青瓦 | 泥刀，砖块，脚手架，逆光 | 质朴、建造 | 24
[非遗] @窑工 | 烧窑制瓷，投柴看火，窑变，开窑 | 窑火，瓷器，汗珠，暖红光照 | 艰辛、匠心 | 24
[非遗] @船工 | 撑篙摇橹，拉纤行船，江涛号子 | 竹篙，纤绳，江浪，逆光剪影 | 坚韧、沧桑 | 24,39
[非遗] @挑夫 | 肩挑扁担，山道行走，汗流浃背 | 扁担，箩筐，山路，逆光 | 艰辛、朴实 | 24
[非遗] @脚夫 | 负重行走，运货，歇脚 | 麻袋，木杠，汗水，硬光 | 劳苦、坚韧 | 24
[非遗] @纤夫 | 拉纤行舟，赤膊，号子，逆水行走 | 纤绳，赤脚，江滩，逆光 | 悲壮、团结 | 24,22
[非遗] @茶农 | 采茶炒茶，茶园，铁锅杀青 | 茶篓，嫩芽，晨雾，柔光 | 清新、质朴 | 24
[非遗] @茶艺师 | 功夫茶艺，冲泡品饮，关公巡城 | 紫砂壶，茶汤，茶室，暖光 | 雅致、禅意 | 24
[非遗] @酒匠 | 酿酒蒸馏，酒曲，窖藏，勾调 | 酒坛，蒸汽，酒窖，暖黄光 | 醇厚、匠心 | 24
[非遗] @醋匠 | 酿醋，醋缸，发酵，陈酿 | 醋缸，醋酸烟雾，作坊 | 酸香、传统 | 24
[非遗] @酱匠 | 制酱，酱缸，日晒夜露 | 酱缸，酱色，阳光 | 咸香、传统 | 24
[非遗] @豆腐匠 | 磨豆煮浆，点卤，压制成型 | 石磨，豆浆，豆腐，蒸汽 | 质朴、手艺 | 24
[非遗] @面点师 | 和面擀皮，包馅，蒸煮炸 | 面粉，擀面杖，蒸笼，热气 | 精巧、温暖 | 24
[非遗] @糖匠 | 熬糖制糖，拔糖，糖画 | 糖浆，石锅，拉糖，暖光 | 甜蜜、手艺 | 24
[非遗] @盐工 | 晒盐煮盐，盐田，结晶 | 盐田，盐堆，烈日，逆光 | 艰辛、传统 | 24
[非遗] @织女 | 纺织，织机，梭子，布匹 | 织机，丝线，梭影，柔光 | 柔美、匠心 | 24,161
[非遗] @绣娘 | 刺绣，绷架，丝线，花鸟鱼虫 | 绣针，彩线，绣绷，微距 | 精细、雅致 | 24,161
[非遗] @染匠 | 扎染蜡染，靛蓝浸染，花纹展开 | 蓝染缸，布料，冰裂纹 | 朴素、神秘 | 24
[非遗] @漆匠 | 髹漆，打磨，推光，雕漆 | 漆刷，漆面反光，金箔 | 华美、匠心 | 24
[非遗] @纸匠 | 造纸，捞纸，晒纸，宣纸 | 纸浆，竹帘，纸墙，柔光 | 古朴、匠心 | 24
[非遗] @笔匠 | 制笔，选毫，齐毫，扎笔 | 毛笔，毛料，水盆，柔光 | 精细、文雅 | 24
[非遗] @墨匠 | 制墨，炼烟，和胶，压模描金 | 墨锭，金粉，模具，侧光 | 古朴、墨香 | 24
[非遗] @砚匠 | 制砚，选石，雕刻，打磨 | 砚石，刻刀，石粉，硬光 | 厚重、文雅 | 24
[非遗] @铜匠 | 打铜，錾刻，铜壶铜器 | 铜片，锤子，錾刀，火花 | 铿锵、精细 | 24,162
[非遗] @锡匠 | 打锡，锡器，焊接抛光 | 锡片，烙铁，反光，硬光 | 光亮、传统 | 24
[非遗] @银匠 | 银饰制作，錾刻，花丝，镶嵌 | 银条，錾子，火枪，特写 | 精美、民族 | 24,161
[非遗] @金匠 | 金器打造，鎏金，累丝 | 金片，火枪，金箔，逆光 | 奢华、精细 | 24,161
[非遗] @玉匠 | 玉雕，解玉砂，琢玉，抛光 | 玉石，砣具，玉粉，柔光 | 温润、匠心 | 24
[非遗] @核雕匠 | 橄榄核微雕，舟船人物，精细 | 橄榄核，刻刀，放大镜 | 精巧、神奇 | 24
[非遗] @竹编匠 | 竹丝编织，篮筐，竹器 | 竹丝，模具，编织过程 | 质朴、灵巧 | 24
[非遗] @草编匠 | 麦秆/草编，草帽，草篮 | 麦秆，草辫，草帽 | 田园、质朴 | 24
[非遗] @藤编匠 | 藤条编织，藤椅，藤篮 | 藤条，藤椅，自然光 | 自然、质朴 | 24
[非遗] @棕编匠 | 棕叶编织，昆虫动物 | 棕叶，剪刀，成品小动物 | 生动、童趣 | 24
[非遗] @花匠 | 种花养花，盆景，插花 | 剪刀，花枝，花园，柔光 | 雅致、自然 | 24
[非遗] @园丁 | 园林养护，修剪，叠石 | 修枝剪，假山，竹篱 | 雅致、辛劳 | 24
[非遗] @猎户 | 狩猎，弓箭，陷阱，山野 | 猎弓，兽皮，山林，晨雾 | 勇猛、野性 | 24,162
[非遗] @渔夫 | 撒网捕鱼，鸬鹚捕鱼，江海 | 渔网，鱼篓，江面，逆光 | 质朴、生活 | 24
[非遗] @汉服·曲裾 | 深衣曲裾，绕襟，战国至汉代流行，端庄典雅 | 交领右衽，宽袖，腰系绦带，长裙曳地 | 古朴、端庄、典雅 | 24,161
[非遗] @汉服·直裾 | 直裾深衣，汉代男子常服，简洁利落 | 直领对襟，袖口收窄，腰束革带 | 简约、干练 | 24,161
[非遗] @汉服·襜褕 | 汉代直裾单衣，外罩，常用丝绵 | 宽袖，衣摆开衩，彩色缘边 | 飘逸、随意 | 24,161
[非遗] @汉服·袴褶 | 上褶下袴，短衣长裤，便于骑射 | 窄袖短衣，裤腿束口，革带 | 英武、实用 | 24,161
[非遗] @魏晋·襦裙 | 上襦下裙，裙腰高，飘带，仙风道骨 | 交领或对襟，裙摆宽大，披帛 | 飘逸、仙气 | 24,161,22
[非遗] @魏晋·杂裾垂髾 | 裙摆有三角形装饰，层层叠叠，魏晋风度 | 垂髾飘带，衣袂翻飞，广袖 | 潇洒、放达 | 24,161
[非遗] @魏晋·鹤氅 | 宽大披风，道家仙风，文人雅士 | 大袖，敞怀，风流飘逸 | 超然、洒脱 | 24,161
[非遗] @唐代·齐胸襦裙 | 裙腰齐胸，上襦窄小，披帛，唐风华丽 | 高腰线，长裙拖地，色彩艳丽 | 明艳、丰腴 | 24,161
[非遗] @唐代·胡服 | 翻领窄袖，条纹裤，革带，受西域影响 | 翻领，对襟，长靴，异域风情 | 飒爽、异域 | 24,161
[非遗] @唐代·圆领袍 | 男子圆领袍，翻领或立领，束革带 | 圆领，长袍，翘头靴，幞头 | 英武、大气 | 24,161
